Time	w	PmGT	PeGT	PES1	PES2	PFlex	PWT
0	1	0.502857142857143	0.502857142857143	-0	-0	-0	-0
0.1	0.99989914129337	0.502856924221391	0.502856924221391	-0.000391801155293861	-0	-0.126772426676712	0.157686086713753
0.2	1.00004706392395	0.502856715091732	0.502856715091732	-0	-0	-0.106563084236337	0.156587459156341
0.3	1.00019607479821	0.502856515054851	0.502856515054851	-0	-0	-0.107368307013067	0.159276929320319
0.4	1.00031856982551	0.5028563237154	0.5028563237154	-0	-0	-0.107691363504512	0.159873136552123
0.5	1.00041017417244	0.502856140695222	0.502856140695222	-0	-0	-0.108489288337607	0.160946389848674
0.6	1.00047196158032	0.502855965632604	0.502855965632604	-0	-0	-0.109014518182302	0.161702351776697
0.7	1.00050529211548	0.502855798181557	0.502855798181557	-0	-0	-0.109761493962572	0.162683802802734
0.8	1.00052136163985	0.502855638011137	0.502855638011137	-0	-0	-0.109918507672508	0.16309794243739
0.9	1.00052759295314	0.502855484804788	0.502855484804788	-0	-0	-0.110124215442347	0.163742709690141
1	1.00052710557499	0.502855338259719	0.502855338259719	-0	-0	-0.110427474015642	0.163747165053341
1.1	1.00052204387317	0.502855198086304	0.502855198086304	-0	-0	-0.110160601764146	0.163528195071705
1.2	1.00051388762729	0.502855064007506	0.502855064007506	-0	-0	-0.110553720403401	0.164419995282011
1.3	1.00050363848416	0.502854935758339	0.502854935758339	-0	-0	-0.110488998517952	0.164288842880515
1.4	1.00049199430131	0.502854813085335	0.502854813085335	-0	-0	-0.110366343615262	0.163924576746272
1.5	1.00047941426015	0.502854695746047	0.502854695746047	-0	-0	-0.110400295741517	0.164064139609916
1.6	1.00046619771235	0.50285458350857	0.50285458350857	-0	-0	-0.11037550500747	0.164187414805496
1.7	1.00045258044473	0.502854476151081	0.502854476151081	-0	-0	-0.110581097660362	0.164335269025283
1.8	1.00043869381011	0.502854373461403	0.502854373461403	-0	-0	-0.110653468802976	0.164220718362877
1.9	1.00042446701002	0.502854275236583	0.502854275236583	-0	-0	-0.110943986529448	0.164175844808899
2	1.00040970766798	0.502854181282494	0.502854181282494	-0	-0	-0.110441294324539	0.164385901868902
2.1	0.999628103129064	0.502854091413448	0.502854091413448	-0	-0	-0.109843513950426	-0.00175135916990099
2.2	0.998824193470836	0.502854005451829	0.502854005451829	-0	-0	-0.110187974221962	-0.00175397629997992
2.3	0.998011084744141	0.502853923227748	0.502853923227748	-0	-0	-0.110571048230302	-0.00176587478720599
2.4	0.997194603454241	0.502853844578699	0.502853844578699	0.000205038562257537	-0	-0.109856519373621	-0.0017583314548491
2.5	0.9963825825417	0.502853769349242	0.502853769349242	0.00104211660842767	-0	-0.108697590668757	-0.00175913482647636
2.6	0.995579406120372	0.502853697390697	0.502853697390697	0.00190670373232834	-0	-0.107564626352207	-0.0017569300645187
2.7	0.994785206690315	0.502853628560848	0.502853628560848	0.00277435505303362	-0	-0.106318730663081	-0.00175427249397043
2.8	0.994000235463847	0.50285356272366	0.50285356272366	0.00363519288171662	-0	-0.105342238728467	-0.00176399537025069
2.9	0.993224537905829	0.502853499749017	0.502853499749017	0.00448757748251625	-0	-0.104116029567047	-0.00176081190226187
